1,You need:5
2,You need:24
3,You need:18
4,You need:22
5,You need:20
6,You need:20
7,You need:18
8,You need:5
9,You need:50
10,You need:1
11,You need:35
12,You need:26
13,You need:18
14,You need:28
15,You need:50
16,You need:9
17,You need:3
18,You need:18
19,You need:50
20,You need:30
21,You need:28
22,You need:50
23,You need:20
24,You need:24
25,You need:8
26,You need:50
27,You need:26
28,You need:20
29,You need:65
30,You need:24
31,You need:16
32,You need:30
33,You need:1
34,You need:18
35,You need:13
36,You need:30
37,You need:30
38,You need:30
39,You need:8
40,You need:22
41,You need:6
42,You need:65
43,You need:26
44,You need:26
45,You need:35
46,You need:18
47,You need:18
48,You need:14
49,You need:90
50,You need:30
51,You need:18
52,You need:90
53,You need:1
54,You need:22
55,You need:26
56,You need:20
57,You need:50
58,You need:16
59,You need:26
60,You need:50
61,You need:35
62,You need:24
63,You need:65
64,You need:28
65,You need:50
66,You need:16
67,You need:22
68,You need:28
69,You need:14
70,You need:14
72,Unknown
73,You need:13
74,You need:18
75,You need:18
76,You need:14
77,You need:18
78,You need:30
79,You need:50
80,You need:14
81,You need:35
82,You need:8
83,You need:26
84,You need:90
85,You need:28
86,You need:30
87,You need:35
88,You need: 7
89,You need:26
90,You need:16
91,Unknown
92,Unknown
93,You need:30
94,You need:20
95,You need:90
96,You need:28
97,You need:22
98,You need:26
99,You need:1
100,You need:30
101,You need:1
102,You need:65
103,You need:22
104,You need:22
105,You need:26
106,You need:50
107,You need:24
108,You need:26
109,You need:2
110,You need:6
111,You need:28
112,You need:50
113,You need:30
114,You need:65
115,You need:8
116,You need:30
117,You need:30
118,You need:50
119,You need:5
120,You need:26
121,You need:26
122,You need:50
123,You need:13
124,You need:18
125,You need:50
126,You need:90
127,You need:16
128,You need:65
129,You need:9
130,You need:1
131,You need:24
132,You need:30
133,You need:16
134,You need:16
135,You need:50
136,You need:50
137,You need:1
138,You need:20
139,You need:90
140,You need:9
141,You need:35
142,You need:26
143,You need:30
144,You need:65
145,You need:65
146,You need:65
147,You need:65
148,You need:65
149,You need:14
150,You need:30
151,You need:65
152,You need:22
153,You need:26
154,You need:65
155,You need:35
156,You need:50
157,You need:14
158,You need:16
159,You need:50
160,You need:18
161,You need:26
162,You need:26
163,You need:26
164,You need:65
165,You need:50
166,You need:28
167,You need:35
168,You need:26
169,You need:65
170,You need:18
171,You need:26
172,You need:28
173,You need:30
174,You need:65
175,You need:35
176,You need:30
177,You need:18
178,You need:22
179,You need:28
180,You need:8
181,You need:22
182,You need:35
183,You need:50
184,You need:65
185,You need:35
186,You need:50
187,You need:24
188,You need:35
189,You need:50
190,You need:28
191,You need:30
192,You need:35
193,You need:1
194,You need:65
195,You need:28
196,You need:12
197,You need:90
198,You need:20
199,You need:30
200,You need:13
201,You need:65
202,You need:28
